time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.200084,4.0299,0.5826,-0.9800,4.188
3.209289,2.2912,0.2682,-0.8742,2.467
3.225477,1.1906,0.0070,-0.6842,1.373
3.238360,0.5953,-0.0161,-0.5919,0.840
3.244930,0.2752,0.1183,-0.3237,0.441
3.256674,0.0206,0.3363,-0.0237,0.338
3.265774,-0.1583,0.5625,0.4268,0.724
3.274552,-0.1987,0.4230,0.5522,0.723
3.285598,-0.3373,0.0075,0.2512,0.421
3.299028,-0.5067,-0.4550,-0.1747,0.703
3.308749,-0.7472,-0.8397,-0.8767,1.425
3.314891,-0.5635,-0.8421,-2.3118,2.524
3.328586,-0.4994,-0.5621,-2.6635,2.768
3.337575,0.1247,-0.1319,-0.8407,0.860
3.345404,1.0725,0.2208,0.7200,1.311
3.355912,0.9713,0.4890,-0.3127,1.132
3.365373,0.8446,0.1418,-0.4605,0.972
3.375572,1.0192,-0.7146,-0.1132,1.250
3.385496,1.1130,-1.5301,-0.2291,1.906
3.395987,0.8836,-0.8373,-0.9827,1.564
3.406222,0.6963,0.1186,-0.9422,1.178
3.416894,0.4438,0.8274,-0.7250,1.186
3.427999,0.2707,1.0921,-0.5682,1.261
3.438298,0.2822,0.8746,-0.5218,1.057
3.448543,0.4275,0.6172,-0.3986,0.850
3.456220,0.5636,0.3484,-0.4104,0.779
3.466757,0.8326,0.1433,-0.3454,0.913
3.476093,0.9565,-0.1586,-0.0919,0.974
3.486157,1.1185,-0.4979,0.3900,1.285
3.496205,1.3324,-0.5990,0.6681,1.606
3.510842,1.2833,-0.4924,1.0011,1.700
3.516270,0.8435,-0.2683,1.1721,1.469
3.526347,0.4431,0.0351,0.9565,1.055
3.536935,0.4171,0.2900,0.6649,0.837
3.546438,0.7131,0.2972,0.6385,1.002
3.559404,0.9992,0.1258,0.7545,1.258
3.568263,1.0992,-0.2486,0.7009,1.327
3.576926,1.0969,-0.5747,0.4772,1.327
3.588216,1.0899,-0.6902,0.2514,1.314
3.599123,1.0521,-0.6743,-0.0240,1.250
3.610780,1.1080,-0.6597,-0.2138,1.307
3.618538,1.1250,-0.5722,-0.2314,1.283
3.630305,0.9656,-0.4578,-0.3471,1.124
3.637594,0.7255,-0.2247,-0.2968,0.815
3.647553,0.5314,-0.0351,-0.0356,0.534
3.659448,0.7448,-0.2946,0.4292,0.909
3.668300,1.3815,-0.9752,0.7031,1.831
3.679185,2.1417,-1.2796,0.2499,2.507
3.688829,2.0289,-0.9039,-1.0523,2.458
3.698309,1.2793,-0.2320,-1.6142,2.073
3.715289,0.0915,0.3516,-1.3961,1.443
3.719021,-0.9095,0.5882,-1.0635,1.518
3.728296,-1.4023,0.6772,-0.8209,1.760
3.738675,-1.2105,0.7034,-0.4026,1.457
3.748553,-0.5626,0.7323,-0.1336,0.933
3.765542,0.1857,0.5553,0.0792,0.591
3.768985,0.6266,0.2492,0.1452,0.690
3.782650,0.5707,-0.1053,0.1089,0.590
3.788677,0.6982,0.1223,-0.6799,0.982
3.806525,0.9369,0.1989,-1.2796,1.598
3.809148,0.0398,-0.7843,-0.7312,1.073
3.818079,-0.7395,-1.1435,-0.5357,1.463
3.828909,-2.0440,-1.1717,-2.1570,3.194
3.838926,-1.4491,0.1968,-0.3977,1.516
3.849028,-1.0632,0.5492,0.5396,1.313
3.859938,-0.5879,0.1248,1.2381,1.376
3.869681,-0.1581,0.3518,2.5218,2.551
3.880822,-0.1816,0.4398,2.5858,2.629
3.893420,-0.4804,0.4060,2.3863,2.468
3.900220,-0.6797,0.5142,1.9656,2.142
3.910460,-0.7254,0.5421,1.3255,1.605
3.920212,-0.6142,0.4265,0.8273,1.115
3.930687,-0.5125,0.3314,0.5137,0.798
3.946820,-0.5216,0.2390,0.4597,0.735
3.950059,-0.0248,0.5632,0.7155,0.911
3.966719,-0.2132,0.8347,-0.0328,0.862
3.970574,-0.4991,0.9364,0.0025,1.061
3.980279,-0.8094,0.7545,-0.0539,1.108
3.993570,-1.1867,0.5516,-0.3286,1.349
4.001175,-1.7614,0.2884,-0.5666,1.873
4.010557,-2.4002,0.1725,-0.6789,2.500
4.018849,-2.9312,0.1473,-0.7277,3.024
4.025934,-3.1436,0.2823,-0.6055,3.214
4.036372,-2.8217,0.6601,-0.2989,2.913
4.046447,-1.9952,0.8554,-0.0854,2.173
4.057708,-1.0737,0.8051,0.3185,1.379
4.066622,-0.3061,0.8110,0.4947,0.998
4.076013,-0.0049,0.8818,0.5525,1.041
4.087531,-0.1509,1.0222,0.5807,1.185
4.096442,-0.5957,1.2871,0.6694,1.568
4.106962,-0.8079,1.4303,0.9386,1.892
4.117593,-0.6973,1.4425,1.2111,2.008
4.128645,-0.3454,1.1946,1.1921,1.723
4.137268,-0.1614,0.9985,1.0159,1.434
4.147430,-0.2228,0.9085,0.5229,1.072
4.163009,-0.3283,0.9346,-0.0809,0.994
4.168409,-0.1113,0.6722,-0.5887,0.900
4.177309,0.0950,0.3249,-1.0685,1.121
4.187811,0.3091,0.2395,-1.5134,1.563
4.197374,0.4704,0.2101,-1.6324,1.712
4.212151,0.5868,0.0446,-1.4769,1.590
4.218062,0.4832,-0.2544,-1.1776,1.298
4.227799,0.1526,-0.5993,-0.9311,1.118
4.238042,-0.0240,-0.8683,-0.4585,0.982
4.247691,0.0079,-0.9978,-0.0303,0.998
4.262849,0.2069,-1.2204,0.2935,1.272
4.268952,0.3558,-1.4743,0.5450,1.612
4.278362,0.3237,-1.5192,0.4222,1.610
4.288156,0.3445,-1.5447,0.2601,1.604
4.298743,0.4815,-1.6768,0.2090,1.757
4.311250,0.8471,-1.7512,0.2134,1.957
4.318825,1.3411,-1.8669,0.1729,2.305
4.328270,1.8313,-1.9773,0.1241,2.698
4.338491,2.2145,-1.9998,0.0988,2.985
4.348353,2.3998,-2.0511,-0.1079,3.159
4.362915,2.3482,-2.1522,-0.3820,3.208
4.369524,2.1381,-2.1569,-0.7659,3.132
4.378667,1.9480,-2.2021,-1.2380,3.190
4.392638,1.8904,-2.2799,-1.5440,3.340
4.399198,2.1032,-2.2320,-1.7403,3.526
4.411490,2.5103,-2.5383,-1.6280,3.924
4.418159,2.6178,-1.4676,-1.6953,3.447
4.429108,3.1470,-1.3283,-1.3755,3.682
4.439134,3.5869,-1.6503,-1.2463,4.140
4.449178,3.9255,-1.5430,-1.2099,4.388
4.463127,4.2833,-1.4153,-1.1735,4.661
4.469964,4.7492,-1.7263,-1.0187,5.155
4.479473,5.1018,-2.2416,-1.0684,5.674
4.496812,5.0899,-2.4499,-1.4876,5.841
4.500547,4.4671,-2.7102,-2.1231,5.640
4.512285,3.2581,-2.7416,-2.5317,4.954
4.519854,2.0350,-2.5112,-2.4916,4.081
4.530064,-0.0972,-2.2312,0.5162,2.292
4.542821,0.3229,-2.5003,0.9756,2.703
4.550288,-0.0406,-3.0426,2.3170,3.825
4.560080,-1.2076,-3.1451,3.4116,4.795
4.571427,-2.4784,-3.0250,3.6630,5.358
4.580874,-3.2716,-2.1012,4.4905,5.940
4.592388,-3.8462,-1.8801,4.6678,6.334
4.600746,-4.0880,-1.8379,3.6698,5.793
4.611092,-4.5924,-1.3122,1.9475,5.158
4.628827,-5.0350,-0.5574,0.2930,5.074
4.636262,-5.9772,0.4083,-1.5215,6.181
4.645952,-5.9123,0.8541,-2.7462,6.575
4.659463,-5.7460,1.2136,-3.7720,6.980
4.666072,-5.0943,0.9734,-4.2799,6.724
4.679239,-4.1144,0.2617,-3.6004,5.474
4.687029,-3.5733,0.3399,-2.8253,4.568
4.703046,-2.8660,0.6283,-1.9811,3.540
4.723096,-2.0864,0.3902,-1.0447,2.366
4.725145,-1.7384,-0.0426,-0.3125,1.767
4.734237,-1.9422,-0.1895,0.3413,1.981
4.736525,-2.6278,-0.3955,0.4816,2.701
4.746686,-3.3624,-0.9169,0.4552,3.515
4.762742,-3.4198,-1.7314,1.2078,4.019
4.766973,-3.8849,-2.2157,1.0186,4.587
4.776845,-4.6878,-2.4234,-0.6323,5.315
4.786926,-5.8769,-3.2598,-3.6619,7.653
